2026-07-26 02:53:31 | INFO | paysim_pipeline | Starting PaySim pipeline
2026-07-26 02:53:31 | INFO | paysim_pipeline | Pipeline run ID: 20260726_025331_4d0c583d
2026-07-26 02:53:31 | INFO | paysim_pipeline | Project root: /app
2026-07-26 02:53:31 | INFO | paysim_pipeline | Log file: /app/logs/pipeline_20260726_025331_4d0c583d.log
2026-07-26 02:53:31 | INFO | paysim_pipeline | Pipeline configuration validated
2026-07-26 02:53:31 | INFO | paysim_pipeline | Input file: /app/data/raw/PS_20174392719_1491204439457_log.csv
2026-07-26 02:53:31 | INFO | paysim_pipeline | Deleted 7 previous summary CSV files
2026-07-26 02:53:35 | INFO | paysim_pipeline | Spark session created
2026-07-26 02:53:35 | INFO | paysim_pipeline | Spark version: 4.2.0
2026-07-26 02:53:35 | INFO | paysim_pipeline | Spark master: local[4]
2026-07-26 02:53:39 | INFO | paysim_pipeline | Bronze completed: 6,362,620 rows in 4.28 seconds
2026-07-26 02:54:01 | INFO | paysim_pipeline | Silver completed: 6,362,620 rows in 22.02 seconds
2026-07-26 02:54:01 | INFO | paysim_pipeline | Bronze-to-Silver reconciliation: PASS
2026-07-26 02:54:02 | INFO | paysim_pipeline | Executing Gold table: daily_transaction_summary
2026-07-26 02:54:17 | INFO | paysim_pipeline | Gold table daily_transaction_summary completed: 31 rows in 14.71 seconds
2026-07-26 02:54:17 | INFO | paysim_pipeline | Executing Gold table: daily_type_summary
2026-07-26 02:54:27 | INFO | paysim_pipeline | Gold table daily_type_summary completed: 152 rows in 10.70 seconds
2026-07-26 02:54:27 | INFO | paysim_pipeline | Executing Gold table: hourly_fraud_summary
2026-07-26 02:54:39 | INFO | paysim_pipeline | Gold table hourly_fraud_summary completed: 743 rows in 11.49 seconds
2026-07-26 02:54:39 | INFO | paysim_pipeline | Executing Gold table: transaction_type_summary
2026-07-26 02:54:46 | INFO | paysim_pipeline | Gold table transaction_type_summary completed: 5 rows in 7.05 seconds
2026-07-26 02:54:46 | INFO | paysim_pipeline | Executing Gold table: high_value_summary
2026-07-26 02:54:56 | INFO | paysim_pipeline | Gold table high_value_summary completed: 103 rows in 9.41 seconds
2026-07-26 02:55:10 | INFO | paysim_pipeline | Daily reconciliation: PASS
2026-07-26 02:55:10 | INFO | paysim_pipeline | Transaction-type reconciliation: PASS
2026-07-26 02:55:10 | INFO | paysim_pipeline | Fraud reconciliation: PASS
2026-07-26 02:55:10 | INFO | paysim_pipeline | Audit exported: /app/data/gold/pipeline_audit/pipeline_audit_20260726_025331_4d0c583d.csv
2026-07-26 02:55:10 | INFO | paysim_pipeline | Summary exported: /app/data/gold/pipeline_audit/pipeline_summary_20260726_025331_4d0c583d.csv
2026-07-26 02:55:10 | INFO | paysim_pipeline | Pipeline status: SUCCESS
2026-07-26 02:55:10 | INFO | paysim_pipeline | Total execution time: 99.28 seconds
2026-07-26 02:55:10 | INFO | paysim_pipeline | Releasing pipeline resources
2026-07-26 02:55:12 | INFO | paysim_pipeline | Spark session stopped
2026-07-26 02:55:12 | INFO | py4j.clientserver | Closing down clientserver connection
